[2026-01-29 09:50:00] Event: DisasterDetected, Severity: MODERATE
[2026-02-12 20:03:04] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:05:46] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:05:56] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:06:06] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:06:16] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:06:26] Event: DisasterDetected, Severity: MODERATE
[2026-02-12 20:06:36] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:06:46] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:10:07] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:10:17] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:10:27] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:10:37] Event: DisasterDetected, Severity: MODERATE
[2026-02-12 20:10:47] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:10:57] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:11:07] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:11:17] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:11:27] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:11:37] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:11:47] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:24:46] Event: DisasterDetected, Severity: MODERATE
[2026-02-12 20:24:56] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:25:06] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:25:16] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:25:26] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:25:36] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:25:46] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:25:56] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:26:06] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:26:16] Event: DisasterDetected, Severity: MODERATE
[2026-02-12 20:26:26] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:26:36] Event: DisasterDetected, Severity: HIGH
[2026-02-12 20:26:46] Event: DisasterDetected, Severity: LOW
[2026-02-12 20:26:56] Event: DisasterDetected, Severity: CRITICAL
[2026-02-12 20:27:06] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 09:54:41] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 09:54:51] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 09:55:01] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 09:55:11] Event: DisasterDetected, Severity: HIGH
[2026-02-19 09:55:21] Event: DisasterDetected, Severity: HIGH
[2026-02-19 09:55:31] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 09:55:41] Event: DisasterDetected, Severity: LOW
[2026-02-19 09:55:51] Event: DisasterDetected, Severity: HIGH
[2026-02-19 09:56:01] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 09:56:11] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 09:56:21] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 09:56:31] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 09:56:41] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 09:56:51] Event: DisasterDetected, Severity: HIGH
[2026-02-19 09:57:01] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 09:57:11] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 09:57:21] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:31:46] Event: DisasterDetected, Severity: HIGH
[2026-02-19 10:31:56] Event: DisasterDetected, Severity: LOW
[2026-02-19 10:32:06] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 10:32:16] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 10:32:26] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 10:32:36] Event: DisasterDetected, Severity: HIGH
[2026-02-19 10:32:46] Event: DisasterDetected, Severity: LOW
[2026-02-19 10:34:33] Event: DisasterDetected, Severity: HIGH
[2026-02-19 10:34:43] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:34:53] Event: DisasterDetected, Severity: LOW
[2026-02-19 10:35:03] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 10:35:13] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:35:23] Event: DisasterDetected, Severity: LOW
[2026-02-19 10:35:33] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:35:43] Event: DisasterDetected, Severity: LOW
[2026-02-19 10:35:53] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:36:03] Event: DisasterDetected, Severity: HIGH
[2026-02-19 10:36:13] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:36:23] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 10:36:33] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:36:43] Event: DisasterDetected, Severity: MODERATE
[2026-02-19 10:36:53] Event: DisasterDetected, Severity: CRITICAL
[2026-02-19 10:38:44] Event: DisasterDetected, Severity: HIGH
